Title,Author,Link,Bookshelf
The Extermination of the American Bison,William T. Hornaday,http://www.gutenberg.org/ebooks/17748,Animal
Deadfalls and Snares,A. R. Harding,http://www.gutenberg.org/ebooks/34110,Animal
Artistic Anatomy of Animals,Édouard Cuyer,http://www.gutenberg.org/ebooks/38315,Animal
"Birds, Illustrated","Color Photography, Vol. 1, No. 1 Various",http://www.gutenberg.org/ebooks/30221,Animal
On Snake-Poison: Its Action and Its Antidote,A. Mueller,http://www.gutenberg.org/ebooks/32947,Animal
Fifty Years a Hunter and Trapper,E. N. Woodcock,http://www.gutenberg.org/ebooks/34063,Animal
What Bird is That?,Frank M. Chapman,http://www.gutenberg.org/ebooks/31751,Animal
"Fox Trapping: A Book of Instruction Telling How to Trap, Snare, Poison and Shoot",,http://www.gutenberg.org/ebooks/34076,Animal
A Guide for the Study of Animals,"Lucas, Shinn, Smallwood, and Whitney",http://www.gutenberg.org/ebooks/34984,Animal
Our Vanishing Wild Life: Its Extermination and Preservation,William T. Hornaday,http://www.gutenberg.org/ebooks/13249,Animal
